Id,SalePrice
1461,127291.69361429823
1462,177105.00517507075
1463,183529.70459901248
1464,195213.1600911931
1465,185757.802797174
1466,177245.48553737532
1467,178770.93110274663
1468,165806.14066870877
1469,182313.58705044136
1470,130681.79966594334
1471,210048.6974802517
1472,92466.1840435717
1473,94770.12480136052
1474,152888.04691507894
1475,130953.00855537647
1476,376429.7482630792
1477,250513.70263414687
1478,282810.3742739885
1479,250472.67270698503
1480,530655.1083890459
1481,306386.2905416792
1482,202201.77108832268
1483,154960.16142732924
1484,165916.3746827161
1485,174779.23293884212
1486,190394.49610867535
1487,339923.15351245494
1488,238865.73069622682
1489,219069.68048359975
1490,203109.7961440611
1491,182642.60877365962
1492,90612.86375856363
1493,183279.39702991652
1494,275392.46809137904
1495,272757.9413039059
1496,226713.03333653035
1497,190337.61292779594
1498,162373.92640784843
1499,162762.76569964722
1500,147221.69130097568
1501,170648.40769241424
1502,152096.85618092277
1503,290280.6972049825
1504,227832.75386060323
1505,216951.56830047694
1506,171672.07669696378
1507,228160.78816322004
1508,220329.87516340584
1509,156983.1561682154
1510,156800.40626826836
1511,144814.82057946446
1512,164162.44790004773
1513,152900.267065877
1514,182996.62127356388
1515,179831.548410207
1516,147484.72592727884
1517,153573.4531297286
1518,132204.5285827205
1519,229121.89378033372
1520,135352.1631499103
1521,138672.24768909137
1522,171161.06294443866
1523,111806.23755382917
1524,131769.23653700494
1525,126585.80444885822
1526,123677.30831165798
1527,102508.6083391065
1528,137183.60244488736
1529,148293.7622073419
1530,180334.6544837707
1531,118071.04617758673
1532,100558.96427176362
1533,148793.6879544201
1534,116522.5144707387
1535,163076.27141324492
1536,104673.62243223957
1537,60165.603187722234
1538,180236.3711936368
1539,216691.0825863404
1540,85484.22292042493
1541,140745.05011701176
1542,150893.06523734465
1543,243198.8582497352
1544,89781.13680752907
1545,100963.27840657112
1546,132155.95705981666
1547,132545.9195388817
1548,146510.47088085546
1549,114428.7077557302
1550,143197.17916712727
1551,108441.14225278817
1552,141378.46832721095
1553,150747.39915746023
1554,109315.81651541992
1555,174556.2227957162
1556,78305.8893440026
1557,103620.37921795518
1558,90504.71733470273
1559,87061.62828465704
1560,141040.2392582492
1561,120424.66584839353
1562,135494.43595670268
1563,125896.86336550317
1564,145565.69955107052
1565,154827.69701788542
1566,233769.93800273672
1567,67117.72313803383
1568,245650.6140330329
1569,131512.49006495677
1570,132605.01271688732
1571,131413.99867589606
1572,150614.15145089672
1573,243940.13602132464
1574,113821.64130893629
