Id,SalePrice
1461,126349.01
1462,164209.66
1463,185445.5
1464,194747.33
1465,190215.3
1466,177826.7
1467,178163.16
1468,165175.89
1469,182848.58
1470,123570.586
1471,211905.88
1472,86829.95
1473,88319.555
1474,150881.67
1475,126828.72
1476,409775.1
1477,251137.48
1478,294059.62
1479,261738.47
1480,529558.8
1481,312394.8
1482,206628.83
1483,167650.34
1484,169770.25
1485,172516.64
1486,184897.55
1487,382344.8
1488,221236.05
1489,216075.25
1490,209980.62
1491,180308.75
1492,84676.8
1493,176779.88
1494,287521.5
1495,302677.25
1496,244783.17
1497,167849.92
1498,161872.38
1499,157899.17
1500,145518.5
1501,175210.2
1502,139031.2
1503,289639.78
1504,228717.56
1505,231115.38
1506,184692.97
1507,235038.81
1508,209952.95
1509,157576.33
1510,137815.48
1511,147044.92
1512,172842.2
1513,145300.86
1514,176618.16
1515,208116.75
1516,159661.4
1517,158486.94
1518,133113.17
1519,242075.47
1520,133568.78
1521,136036.6
1522,169487.11
1523,115323.98
1524,127670.734
1525,116706.18
1526,117247.055
1527,104288.81
1528,132536.7
1529,148283.84
1530,176280.36
1531,111160.69
1532,102596.59
1533,156572.33
1534,119509.086
1535,146961.48
1536,107955.67
1537,67750.14
1538,183845.52
1539,208910.64
1540,81640.39
1541,140641.1
1542,149610.23
1543,235661.31
1544,78935.734
1545,104060.19
1546,134261.28
1547,133354.27
1548,144800.34
1549,114843.875
1550,140571.48
1551,112275.664
1552,148014.34
1553,156515.75
1554,111011.3
1555,167216.98
1556,90799.62
1557,118020.44
1558,90879.18
1559,83562.914
1560,144821.73
1561,154357.3
1562,127972.9
1563,123144.8
1564,161197.31
1565,160551.89
1566,233936.31
1567,67966.055
1568,225710.77
1569,135782.6
1570,128453.33
1571,127341.805
1572,152040.11
1573,256650.12
1574,111905.1
1575,221549.22
1576,237652.98
1577,196274.5
1578,146837.16
1579,155759.6
1580,192901.1
1581,162451.22
1582,128371.49
1583,316629.75
1584,227982.11
1585,140327.31
1586,59511.32
1587,87418.695
1588,148307.11
1589,108576.82
1590,135340.27
1591,96934.83
1592,120468.195
1593,127632.36
1594,158667.45
1595,106047.87
1596,232379.12
1597,173020.61
1598,202942.38
1599,190572.08
1600,178913.84
1601,72126.22
1602,101318.62
1603,79188.35
1604,271591.8
1605,243711.78
1606,168956.98
1607,187289.56
1608,215334.36
1609,195454.8
1610,166127.88
1611,138748.05
1612,150826.34
1613,162036.61
1614,122275.36
1615,82260.945
1616,62490.31
1617,86273.26
1618,124238.91
1619,147404.61
1620,146570.31
1621,140413.58
1622,139463.38
1623,301151.0
1624,209855.94
1625,128916.66
1626,166468.61
1627,195694.36
1628,264835.97
1629,182054.47
1630,356096.2
1631,221584.05
1632,228240.06
1633,174160.52
1634,180405.22
1635,176774.48
1636,152181.8
1637,184857.47
1638,201949.56
1639,180441.7
1640,269223.16
1641,177637.14
1642,242914.6
1643,212323.39
1644,216475.34
1645,191966.97
1646,153270.02
1647,168491.45
1648,127487.9
1649,136191.2
1650,116326.484
1651,130946.23
1652,85925.87
1653,92979.02
1654,148657.77
1655,159947.3
1656,143659.53
1657,151122.8
1658,140474.78
1659,138752.22
1660,151176.44
1661,461410.72
1662,466272.6
1663,409408.8
1664,475616.3
1665,327748.66
1666,322969.66
1667,353061.25
1668,340655.72
1669,313491.25
1670,369744.28
1671,276109.0
1672,455258.16
1673,307292.25
1674,247551.89
1675,183239.89
1676,184625.58
1677,216047.55
1678,462269.12
1679,379600.84
1680,334016.38
1681,257448.98
1682,308079.03
1683,169325.92
1684,153328.92
1685,170322.3
1686,163455.02
1687,161590.86
1688,175962.25
1689,181545.73
1690,188984.11
1691,175503.22
1692,254957.19
1693,154722.92
1694,185136.03
1695,168520.55
1696,260370.27
1697,172745.17
1698,386725.2
1699,318655.0
1700,245606.89
1701,248465.66
1702,275048.16
1703,257031.53
1704,300896.97
1705,221327.7
1706,394822.06
1707,204554.75
1708,211660.4
1709,285474.03
1710,214056.17
1711,248429.55
1712,223457.84
1713,293988.47
1714,229691.67
1715,207646.7
1716,184492.14
1717,175963.86
1718,120409.44
1719,196688.48
1720,250742.7
1721,174806.89
1722,114456.96
1723,148274.66
1724,206092.03
1725,240903.75
1726,179910.92
1727,153256.34
1728,170331.77
1729,163166.25
1730,166660.06
1731,127351.56
1732,129206.55
